Case	PerQual1	PerQual2	PerQual3	PerQual4	PerQual5	PerQual6	PerQual7
67	77.8	77.8	77.8	100.0	77.8	100.0	100.0
68	55.6	44.4	77.8	66.7	77.8	66.7	66.7
69	77.8	66.7	66.7	77.8	88.9	88.9	77.8
70	66.7	77.8	77.8	88.9	77.8	77.8	88.9
71	77.8	77.8	77.8	88.9	88.9	77.8	88.9
72	100.0	88.9	88.9	100.0	100.0	88.9	77.8
73	77.8	100.0	100.0	100.0	100.0	100.0	100.0
74	66.7	66.7	44.4	66.7	66.7	66.7	55.6
75	66.7	66.7	77.8	66.7	77.8	66.7	77.8
76	77.8	66.7	55.6	66.7	77.8	77.8	55.6
77	66.7	77.8	77.8	77.8	77.8	77.8	77.8
78	66.7	55.6	33.3	66.7	55.6	55.6	66.7
79	77.8	66.7	66.7	77.8	66.7	77.8	77.8
80	77.8	66.7	66.7	77.8	77.8	77.8	55.6
81	88.9	88.9	88.9	100.0	88.9	88.9	88.9
82	77.8	77.8	77.8	77.8	66.7	66.7	66.7
83	88.9	77.8	100.0	88.9	88.9	66.7	88.9
84	77.8	66.7	77.8	77.8	88.9	66.7	66.7
85	77.8	77.8	77.8	66.7	77.8	66.7	66.7
86	66.7	44.4	88.9	88.9	88.9	77.8	100.0
87	88.9	88.9	77.8	77.8	88.9	88.9	88.9
88	88.9	77.8	88.9	88.9	88.9	88.9	88.9
89	88.9	77.8	77.8	66.7	66.7	88.9	66.7
90	77.8	88.9	100.0	77.8	100.0	88.9	88.9
91	88.9	100.0	88.9	100.0	100.0	77.8	88.9
92	66.7	77.8	55.6	77.8	66.7	55.6	66.7
93	88.9	77.8	88.9	77.8	88.9	77.8	88.9
94	77.8	44.4	77.8	100.0	77.8	66.7	55.6
95	33.3	77.8	11.1	22.2	33.3	33.3	33.3
96	88.9	77.8	100.0	66.7	88.9	77.8	88.9
97	88.9	77.8	66.7	88.9	77.8	88.9	100.0
98	77.8	77.8	66.7	66.7	55.6	66.7	66.7
99	77.8	55.6	66.7	66.7	66.7	66.7	66.7
100	100.0	77.8	100.0	100.0	66.7	100.0	100.0
101	77.8	66.7	77.8	77.8	77.8	66.7	77.8
102	77.8	66.7	77.8	66.7	77.8	77.8	66.7
103	88.9	88.9	44.4	88.9	77.8	66.7	77.8
104	66.7	55.6	77.8	55.6	66.7	55.6	66.7
105	88.9	88.9	77.8	88.9	77.8	100.0	88.9
106	55.6	66.7	88.9	66.7	88.9	66.7	66.7
107	100.0	44.4	44.4	100.0	44.4	100.0	100.0
108	77.8	66.7	77.8	77.8	77.8	77.8	66.7
109	100.0	100.0	100.0	0.0	100.0	0.0	100.0
110	88.9	66.7	77.8	77.8	77.8	77.8	77.8
111	66.7	88.9	66.7	77.8	88.9	88.9	77.8
112	88.9	88.9	66.7	88.9	77.8	88.9	77.8
113	88.9	77.8	88.9	88.9	88.9	88.9	88.9
114	100.0	100.0	100.0	100.0	100.0	100.0	100.0
115	77.8	66.7	100.0	100.0	100.0	100.0	100.0
116	77.8	66.7	33.3	44.4	77.8	66.7	66.7
117	66.7	77.8	88.9	88.9	88.9	100.0	100.0
118	100.0	88.9	66.7	100.0	100.0	88.9	100.0
119	100.0	66.7	100.0	88.9	100.0	88.9	88.9
120	77.8	77.8	77.8	77.8	77.8	77.8	100.0
121	77.8	77.8	77.8	88.9	88.9	77.8	77.8
122	77.8	77.8	66.7	44.4	66.7	66.7	77.8
123	100.0	100.0	100.0	100.0	100.0	100.0	100.0
124	55.6	33.3	55.6	66.7	66.7	44.4	55.6
125	55.6	22.2	44.4	22.2	66.7	33.3	88.9
126	77.8	77.8	66.7	88.9	66.7	77.8	88.9
127	100.0	77.8	88.9	88.9	88.9	88.9	88.9
128	77.8	66.7	77.8	77.8	66.7	77.8	77.8
129	66.7	44.4	88.9	66.7	77.8	66.7	77.8
130	66.7	55.6	77.8	77.8	77.8	77.8	66.7
131	77.8	66.7	44.4	77.8	44.4	77.8	77.8
132	77.8	44.4	55.6	66.7	77.8	66.7	77.8
133	11.1	33.3	44.4	33.3	55.6	44.4	55.6
134	77.8	77.8	100.0	100.0	100.0	100.0	77.8
135	77.8	22.2	77.8	77.8	88.9	66.7	66.7
136	100.0	77.8	88.9	66.7	88.9	88.9	66.7
137	100.0	100.0	100.0	100.0	100.0	100.0	100.0
138	77.8	66.7	100.0	77.8	77.8	66.7	77.8
139	88.9	88.9	100.0	88.9	77.8	88.9	88.9
140	77.8	77.8	77.8	77.8	55.6	100.0	77.8
141	77.8	66.7	100.0	88.9	77.8	77.8	88.9
142	77.8	77.8	77.8	88.9	66.7	77.8	77.8
143	44.4	77.8	55.6	66.7	66.7	66.7	55.6
144	88.9	66.7	66.7	77.8	77.8	66.7	66.7
145	100.0	100.0	100.0	100.0	100.0	100.0	100.0
146	88.9	77.8	88.9	88.9	88.9	88.9	88.9
147	44.4	44.4	33.3	33.3	66.7	44.4	44.4
148	77.8	77.8	77.8	77.8	77.8	88.9	77.8
149	44.4	77.8	44.4	77.8	33.3	33.3	44.4
150	100.0	77.8	66.7	66.7	88.9	100.0	66.7
151	88.9	77.8	100.0	88.9	88.9	88.9	88.9
152	77.8	55.6	77.8	77.8	77.8	77.8	77.8
153	77.8	100.0	44.4	77.8	100.0	44.4	44.4
154	100.0	44.4	100.0	100.0	100.0	0.0	100.0
155	77.8	88.9	88.9	77.8	66.7	77.8	66.7
156	77.8	66.7	77.8	77.8	66.7	77.8	77.8
157	88.9	66.7	55.6	11.1	55.6	77.8	100.0
158	77.8	77.8	77.8	77.8	88.9	88.9	77.8
159	55.6	55.6	55.6	77.8	66.7	55.6	33.3
160	77.8	77.8	66.7	66.7	77.8	77.8	77.8
161	88.9	55.6	77.8	77.8	77.8	77.8	77.8
162	66.7	66.7	77.8	77.8	77.8	77.8	66.7
163	88.9	88.9	88.9	88.9	88.9	77.8	77.8
164	55.6	44.4	66.7	88.9	55.6	66.7	66.7
165	66.7	77.8	33.3	55.6	33.3	33.3	0.0
166	100.0	44.4	55.6	100.0	100.0	77.8	100.0
167	100.0	66.7	100.0	100.0	100.0	100.0	88.9
168	66.7	22.2	77.8	77.8	77.8	66.7	66.7
169	77.8	44.4	77.8	77.8	66.7	77.8	66.7
170	77.8	33.3	55.6	55.6	66.7	44.4	33.3
171	55.6	22.2	66.7	66.7	66.7	66.7	66.7
172	100.0	100.0	100.0	77.8	100.0	100.0	100.0
173	88.9	88.9	77.8	88.9	77.8	77.8	66.7
174	77.8	66.7	66.7	66.7	77.8	66.7	88.9
175	88.9	88.9	88.9	88.9	77.8	88.9	88.9
176	77.8	100.0	77.8	77.8	44.4	100.0	77.8
177	55.6	44.4	88.9	88.9	77.8	88.9	77.8
178	77.8	66.7	88.9	66.7	88.9	88.9	66.7
179	66.7	44.4	66.7	66.7	88.9	66.7	66.7
180	77.8	66.7	11.1	66.7	66.7	77.8	66.7
181	88.9	77.8	77.8	66.7	66.7	66.7	77.8
182	44.4	22.2	44.4	33.3	44.4	33.3	33.3
183	88.9	77.8	77.8	88.9	88.9	100.0	88.9
184	77.8	66.7	77.8	77.8	77.8	77.8	77.8
185	66.7	33.3	66.7	44.4	55.6	66.7	55.6
186	100.0	66.7	100.0	100.0	100.0	100.0	100.0
187	88.9	88.9	77.8	100.0	88.9	100.0	77.8
188	55.6	11.1	22.2	44.4	33.3	66.7	11.1
189	66.7	11.1	55.6	55.6	66.7	55.6	33.3
190	77.8	88.9	77.8	77.8	77.8	77.8	77.8
191	100.0	44.4	88.9	22.2	22.2	88.9	88.9
192	100.0	77.8	100.0	100.0	100.0	100.0	77.8
193	100.0	77.8	100.0	88.9	100.0	88.9	100.0
194	100.0	100.0	88.9	100.0	100.0	100.0	77.8
195	66.7	55.6	66.7	77.8	55.6	77.8	77.8
196	22.2	88.9	66.7	77.8	66.7	44.4	44.4
197	100.0	100.0	100.0	100.0	100.0	100.0	100.0
198	100.0	100.0	77.8	100.0	77.8	100.0	100.0
199	66.7	44.4	77.8	66.7	88.9	77.8	88.9
200	66.7	66.7	66.7	88.9	88.9	77.8	88.9
201	77.8	88.9	88.9	77.8	77.8	88.9	88.9
202	88.9	55.6	88.9	88.9	77.8	66.7	100.0
203	44.4	0.0	77.8	44.4	44.4	22.2	77.8
204	66.7	22.2	55.6	66.7	55.6	77.8	55.6
205	66.7	44.4	66.7	66.7	55.6	55.6	66.7
206	66.7	33.3	88.9	66.7	44.4	77.8	77.8
207	77.8	55.6	88.9	88.9	88.9	77.8	88.9
208	100.0	88.9	66.7	66.7	88.9	66.7	100.0
209	77.8	77.8	66.7	77.8	77.8	77.8	77.8
210	100.0	44.4	100.0	77.8	55.6	44.4	100.0
211	66.7	66.7	44.4	66.7	66.7	66.7	55.6
212	77.8	66.7	66.7	77.8	77.8	77.8	77.8
213	88.9	77.8	44.4	77.8	77.8	77.8	44.4
214	77.8	66.7	55.6	66.7	66.7	77.8	66.7
215	33.3	33.3	77.8	55.6	66.7	33.3	44.4
216	66.7	66.7	33.3	77.8	77.8	66.7	33.3
217	77.8	66.7	77.8	66.7	77.8	77.8	77.8
218	100.0	66.7	77.8	88.9	77.8	88.9	88.9
219	88.9	88.9	77.8	77.8	88.9	77.8	66.7
220	33.3	22.2	11.1	22.2	22.2	22.2	33.3
221	66.7	55.6	77.8	100.0	66.7	77.8	66.7
222	77.8	66.7	77.8	100.0	88.9	77.8	22.2
223	77.8	66.7	88.9	100.0	77.8	77.8	66.7
224	66.7	77.8	66.7	77.8	77.8	66.7	77.8
225	66.7	44.4	66.7	66.7	66.7	66.7	44.4
226	66.7	22.2	77.8	77.8	77.8	77.8	66.7
227	55.6	44.4	66.7	66.7	77.8	44.4	66.7
228	66.7	66.7	77.8	88.9	100.0	100.0	88.9
229	77.8	55.6	66.7	77.8	66.7	66.7	77.8
230	100.0	66.7	100.0	100.0	100.0	100.0	100.0
231	66.7	66.7	33.3	66.7	77.8	66.7	33.3
232	77.8	77.8	77.8	77.8	77.8	77.8	44.4
233	66.7	44.4	88.9	100.0	100.0	100.0	100.0
234	66.7	77.8	55.6	66.7	77.8	66.7	77.8
235	55.6	44.4	22.2	55.6	44.4	66.7	22.2
236	66.7	66.7	66.7	66.7	66.7	66.7	66.7
237	77.8	66.7	55.6	66.7	77.8	55.6	66.7
238	66.7	55.6	55.6	66.7	55.6	66.7	55.6
239	44.4	0.0	33.3	44.4	77.8	55.6	44.4
240	66.7	66.7	77.8	66.7	55.6	55.6	66.7
241	77.8	66.7	100.0	100.0	100.0	66.7	88.9
242	88.9	77.8	88.9	100.0	77.8	100.0	44.4
243	77.8	100.0	77.8	100.0	77.8	100.0	100.0
244	77.8	77.8	100.0	77.8	100.0	88.9	88.9
245	66.7	100.0	100.0	66.7	66.7	77.8	44.4
246	66.7	44.4	66.7	55.6	55.6	55.6	33.3
247	88.9	88.9	88.9	100.0	77.8	77.8	77.8
248	77.8	66.7	55.6	77.8	88.9	66.7	88.9
249	66.7	55.6	55.6	77.8	66.7	55.6	66.7
250	88.9	100.0	100.0	77.8	77.8	77.8	88.9
