Case	Satis1	Satis2	Satis3
185	44.4	44.4	55.6
186	100.0	100.0	100.0
187	77.8	55.6	77.8
188	66.7	33.3	0.0
189	66.7	55.6	55.6
190	77.8	66.7	66.7
191	88.9	100.0	77.8
192	100.0	44.4	100.0
193	77.8	100.0	77.8
194	88.9	88.9	77.8
195	55.6	55.6	66.7
196	55.6	44.4	66.7
197	100.0	100.0	100.0
198	100.0	100.0	77.8
199	77.8	66.7	55.6
200	100.0	77.8	77.8
201	77.8	66.7	88.9
202	66.7	100.0	100.0
203	77.8	77.8	77.8
204	66.7	44.4	44.4
205	77.8	55.6	77.8
206	55.6	55.6	33.3
207	66.7	77.8	88.9
208	100.0	100.0	66.7
209	66.7	77.8	66.7
210	77.8	77.8	100.0
211	77.8	66.7	44.4
212	66.7	66.7	66.7
213	77.8	44.4	55.6
214	77.8	66.7	77.8
215	55.6	55.6	55.6
216	77.8	88.9	44.4
217	66.7	66.7	77.8
218	88.9	88.9	77.8
219	77.8	88.9	77.8
220	33.3	22.2	33.3
221	66.7	77.8	44.4
222	88.9	66.7	77.8
223	77.8	77.8	77.8
224	77.8	44.4	55.6
225	66.7	77.8	100.0
226	77.8	66.7	66.7
227	55.6	66.7	44.4
228	77.8	88.9	88.9
229	77.8	66.7	55.6
230	100.0	100.0	100.0
231	55.6	44.4	44.4
232	88.9	44.4	77.8
233	88.9	88.9	77.8
234	66.7	66.7	66.7
235	66.7	55.6	44.4
236	44.4	66.7	66.7
237	77.8	55.6	66.7
238	77.8	66.7	55.6
239	77.8	33.3	33.3
240	77.8	77.8	77.8
241	88.9	100.0	100.0
242	100.0	77.8	44.4
243	100.0	77.8	100.0
244	77.8	66.7	100.0
245	66.7	55.6	66.7
246	44.4	55.6	44.4
247	88.9	77.8	77.8
248	77.8	66.7	77.8
249	77.8	44.4	66.7
250	66.7	77.8	77.8
